Category,Month,Longitude,Latitude,Count
Anti_Social,1,-5.1052550000000005,50.16498,1
Anti_Social,1,-5.103994999999999,50.169745,1
Anti_Social,1,-5.1039949999999985,50.169745,1
Anti_Social,1,-5.103882,50.15006500000001,1
Anti_Social,1,-5.103665,50.168324,2
Anti_Social,1,-5.103453,50.41135,1
Anti_Social,1,-5.101203,50.411374,2
Anti_Social,1,-5.1008010000000015,50.167573,2
Anti_Social,1,-5.100801000000001,50.167573,2
Anti_Social,1,-5.100457,50.410521,2
Anti_Social,1,-5.0996190000000015,50.168558,1
Anti_Social,1,-5.099619000000001,50.168558000000004,1
Anti_Social,1,-5.099568,50.215788,2
Anti_Social,1,-5.098856,50.167166,1
Anti_Social,1,-5.0976360000000005,50.265559,2
Anti_Social,1,-5.096126,50.156777000000005,1
Anti_Social,1,-5.096126,50.15677700000001,1
Anti_Social,1,-5.0928260000000005,50.157072,1
Anti_Social,1,-5.092806,50.047834,1
Anti_Social,1,-5.0928059999999995,50.047834,1
Anti_Social,1,-5.092521,50.412523,1
Anti_Social,1,-5.092230000000002,50.418846,3
Anti_Social,1,-5.092230000000001,50.418846,2
Anti_Social,1,-5.091737999999999,50.414972999999996,1
Anti_Social,1,-5.0917379999999985,50.414973,1
Anti_Social,1,-5.091623,50.048765,1
Anti_Social,1,-5.09145,50.266686,7
Anti_Social,1,-5.091423000000002,50.1657,1
Anti_Social,1,-5.091423000000001,50.1657,1
Anti_Social,1,-5.090419,50.413532000000004,1
Anti_Social,1,-5.090269,50.158453,1
Anti_Social,1,-5.09026,50.41476,1
Anti_Social,1,-5.089988,50.412310999999995,1
Anti_Social,1,-5.089728,50.141609,2
Anti_Social,1,-5.089567,50.262742,1
Anti_Social,1,-5.089169999999999,50.412288000000004,1
Anti_Social,1,-5.089169999999998,50.412288,1
Anti_Social,1,-5.088548,50.140012,1
Anti_Social,1,-5.088352,50.408379,1
Anti_Social,1,-5.0883519999999995,50.408379,2
Anti_Social,1,-5.088279,50.145399,2
Anti_Social,1,-5.088128,50.15761,1
Anti_Social,1,-5.0881120000000015,50.411831,4
Anti_Social,1,-5.088112000000001,50.411831,1
Anti_Social,1,-5.087741,50.162901,2
Anti_Social,1,-5.087536,50.415741,3
Anti_Social,1,-5.087292,50.413508,4
Anti_Social,1,-5.087089,50.413621,1
Anti_Social,1,-5.086969,50.158316,1
Anti_Social,1,-5.086623,50.413606,1
Anti_Social,1,-5.086547,50.156537,2
Anti_Social,1,-5.086273,50.145992,2
Anti_Social,1,-5.086104,50.41299,2
Anti_Social,1,-5.085788,50.413754,3
Anti_Social,1,-5.085265,50.41178,1
Anti_Social,1,-5.085178,50.411081,2
Anti_Social,1,-5.085166,50.142054,1
Anti_Social,1,-5.085058999999999,50.412928,1
Anti_Social,1,-5.084559,50.156545,1
Anti_Social,1,-5.0842019999999986,50.413401,1
Anti_Social,1,-5.084063,50.148408,1
Anti_Social,1,-5.0840629999999996,50.148408,1
Anti_Social,1,-5.083142,50.413546,1
Anti_Social,1,-5.083142,50.413546000000004,3
Anti_Social,1,-5.082843,50.411547999999996,1
Anti_Social,1,-5.082741,50.409976,2
Anti_Social,1,-5.082733,50.156898999999996,1
Anti_Social,1,-5.082733,50.156899,2
Anti_Social,1,-5.082652,50.158467,1
Anti_Social,1,-5.082517,50.413247,2
Anti_Social,1,-5.081733,50.162242,1
Anti_Social,1,-5.081652,50.412929,1
Anti_Social,1,-5.081625,50.409475,1
Anti_Social,1,-5.081268,50.414603,3
Anti_Social,1,-5.0809739999999985,50.41050900000001,1
Anti_Social,1,-5.080908,50.162048,1
Anti_Social,1,-5.080652,50.287457,1
Anti_Social,1,-5.080622,50.263529,2
Anti_Social,1,-5.080183,50.155564,2
Anti_Social,1,-5.080124,50.41412,1
Anti_Social,1,-5.080124,50.414120000000004,3
Anti_Social,1,-5.080108999999999,50.151804999999996,1
Anti_Social,1,-5.080108999999998,50.151805,1
Anti_Social,1,-5.080072,50.410497,1
Anti_Social,1,-5.079948,50.415304,1
Anti_Social,1,-5.079695,50.413358,2
Anti_Social,1,-5.079567,50.151424,2
Anti_Social,1,-5.0793050000000015,50.148435,1
Anti_Social,1,-5.079305000000001,50.148435,1
Anti_Social,1,-5.079051,50.412332,1
Anti_Social,1,-5.078535,50.161518,4
Anti_Social,1,-5.0785230000000015,50.153476,1
Anti_Social,1,-5.078523000000001,50.153476,1
Anti_Social,1,-5.078377,50.159704999999995,2
Anti_Social,1,-5.078377,50.159705,3
Anti_Social,1,-5.0782940000000005,50.413467,3
Anti_Social,1,-5.077861,50.288808,5
Anti_Social,1,-5.077755000000002,50.41209600000001,1
Anti_Social,1,-5.077755000000001,50.412096000000005,1
Anti_Social,1,-5.076823,50.156876,2
Anti_Social,1,-5.076823,50.156876000000004,1
Anti_Social,1,-5.076753,50.41402100000001,2
Anti_Social,1,-5.076606,50.18575,1
Anti_Social,1,-5.076576,50.414988,4
Anti_Social,1,-5.076485,50.160556,1
Anti_Social,1,-5.076231,50.412263,3
Anti_Social,1,-5.076067,50.155358,2
Anti_Social,1,-5.0756,50.415347,7
Anti_Social,1,-5.0753900000000005,50.151796,1
Anti_Social,1,-5.075257,50.263905,2
Anti_Social,1,-5.074815,50.154177000000004,1
Anti_Social,1,-5.074791,50.415242,2
Anti_Social,1,-5.074602,50.150422,1
Anti_Social,1,-5.07442,50.415603,1
Anti_Social,1,-5.07442,50.415603000000004,2
Anti_Social,1,-5.074363,50.153244,4
Anti_Social,1,-5.074237,50.411038,3
Anti_Social,1,-5.0737510000000015,50.151992,1
Anti_Social,1,-5.0735790000000005,50.415013,2
Anti_Social,1,-5.073462999999999,50.154267,1
Anti_Social,1,-5.073084,50.154906,5
Anti_Social,1,-5.073076,50.155653,2
Anti_Social,1,-5.072809,50.15826,1
Anti_Social,1,-5.0728089999999995,50.15826,1
Anti_Social,1,-5.072228,50.411325,2
Anti_Social,1,-5.071775,50.155885999999995,3
Anti_Social,1,-5.071775,50.155886,3
Anti_Social,1,-5.0715910000000015,50.408004,1
Anti_Social,1,-5.071591000000001,50.408004,1
Anti_Social,1,-5.071128,50.156281,2
Anti_Social,1,-5.070829,50.165815,3
Anti_Social,1,-5.070787999999999,50.272299,1
Anti_Social,1,-5.070639,50.152812,1
Anti_Social,1,-5.07052,50.156414,2
Anti_Social,1,-5.070323999999999,50.263352000000005,1
Anti_Social,1,-5.0703239999999985,50.26335200000001,1
Anti_Social,1,-5.069848,50.154884,1
Anti_Social,1,-5.0698360000000005,50.416992,2
Anti_Social,1,-5.069757,50.155642,2
Anti_Social,1,-5.06942,50.164377,4
Anti_Social,1,-5.069418,50.232682000000004,1
Anti_Social,1,-5.069022,50.146369,1
Anti_Social,1,-5.0688830000000005,50.154019,2
Anti_Social,1,-5.068738,50.418955,2
Anti_Social,1,-5.068697,50.154627000000005,2
